Company Random #,Sales Rep Random #,Contacts Full Name,Title,Company,Company Headcount,Industry,Company Website,Sales Representative
510,1,Carolina Konzelmann,Nurse Practicioner,The Carlyle Group L.P.,10000+,Investment Managers,www.the.com,Bianca Cardenas
338,19,Klement Cristobal,Civil Engineer,"Scudder Global High Income Fund, Inc.",1001-5000,Holdings,www.scudder.com,Hasad Conrad
415,30,Binnie Daber,Paralegal,"PS Business Parks, Inc.",10000+,Holdings,www.ps.com,Perry Poole
844,59,Lulu Ahern,Tax Accountant,"Ionis Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals,www.ionis.com,Amanda Massey
337,44,Gladys Joslin,Office Assistant III,Global Indemnity Limited,1001-5000,Property-Casualty Insurers,www.global.com,Lani Solomon
551,31,Sheppard Balnaves,Health Coach IV,"GlassBridge Enterprises, Inc.",1001-5000,Electronic Components,www.glassbridge.com,Natalie Hull
880,53,Tobie Druitt,Social Worker,"New Relic, Inc.",1001-5000,Computer Software: Prepackaged Software,www.new.com,Mona Mccormick
723,11,Filippa Tunsley,Quality Engineer,Zhaopin Limited,10000+,Professional Services,www.zhaopin.com,Aline Larsen
58,76,Mitchell Risborough,Design Engineer,"Luxottica Group, S.p.A.",10000+,Ophthalmic Goods,www.luxottica.com,Bethany Horne
377,77,Maggy Adnett,Research Nurse,Brandywine Realty Trust,201-500,Real Estate Investment Trusts,www.brandywine.com,Hoyt Downs
143,89,Brina Vinnick,VP Quality Control,Pioneer Municipal High Income Advantage Trust,1001-5000,Holdings,www.pioneer.com,Jack Mccarthy
970,20,Vergil Bothie,Technical Writer,Vedanta  Limited,201-500,Metal Fabrications,www.vedanta.com,Orson Santos
641,33,Cy Camellini,Statistician IV,"KBR, Inc.",201-500,Military/Government/Technical,"www.kbr,.com",Chester Payne
804,41,Myriam Tarrant,Financial Advisor,"Cidara Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances),www.cidara.com,Erich Pruitt
855,34,Jess Mielnik,Automation Specialist IV,Vince Holding Corp.,10000+,Clothing/Shoe/Accessory Stores,www.vince.com,Dolan Merrill
604,10,Jo Getcliffe,Senior Financial Analyst,"CryoPort, Inc.",10000+,Oil Refining/Marketing,"www.cryoport,.com",Seth Rosario
453,39,Georgeanne Fort,Speech Pathologist,"FCB Financial Holdings, Inc.",10000+,Major Banks,www.fcb.com,Gail William
394,8,Carley Esh,Software Consultant,Texas Pacific Land Trust,10000+,Oil & Gas Production,www.texas.com,Dexter Cherry
407,93,Wilhelmina Standall,Help Desk Technician,"Xcel Brands, Inc",1001-5000,Multi-Sector Companies,www.xcel.com,Giselle Dejesus
645,29,Colver Iwanicki,Assistant Manager,XBiotech Inc.,10000+,Major Pharmaceuticals,www.xbiotech.com,Aline Vincent
365,74,Mahmoud Okeshott,Mechanical Systems Engineer,NF Energy Saving Corporation,10000+,Metal Fabrications,www.nf.com,Ivy Harper
279,87,Florian Kleinert,Geologist IV,"Valhi, Inc.",1001-5000,Major Chemicals,"www.valhi,.com",Lacy Chambers
958,14,Artemus Giamuzzo,Media Manager IV,Dun & Bradstreet Corporation (The),201-500,Finance: Consumer Services,www.dun.com,Martin Pruitt
335,69,Christophorus Stockport,Actuary,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,201-500,Holdings,www.western.com,Jack Francis
5,41,Beniamino Kennifick,Occupational Therapist,"Transcontinental Realty Investors, Inc.",10000+,Real Estate Investment Trusts,www.transcontinental.com,Erich Pruitt
366,5,Rodge Cherrison,Nurse,Union Pacific Corporation,501-1000,Railroads,www.union.com,Risa Pugh
635,69,Laetitia Seeking,Database Administrator II,"REV Group, Inc.",501-1000,Auto Manufacturing,www.rev.com,Jack Francis
407,89,Adela Lambswood,Automation Specialist I,"Xcel Brands, Inc",1001-5000,Multi-Sector Companies,www.xcel.com,Jack Mccarthy
147,21,Cherice Noteyoung,Senior Financial Analyst,MYOS RENS Technology Inc.,201-500,Major Pharmaceuticals,www.myos.com,Vernon Dejesus
78,80,Fredericka Crilley,Senior Financial Analyst,"Orexigen Therapeutics, Inc.",201-500,Major Pharmaceuticals,www.orexigen.com,Gary Randall
897,88,Nataline Kersting,Accountant IV,Kohl&#39;s Corporation,1001-5000,Department/Specialty Retail Stores,www.kohl&#39;s.com,Rhona Gross
749,22,Patten Hanster,Mechanical Systems Engineer,Black Box Corporation,1001-5000,Computer Communications Equipment,www.black.com,Fuller Spencer
134,24,Rani Keford,Staff Scientist,First Trust Nasdaq Pharmaceuticals ETF,501-1000,Holdings,www.first.com,Ava Osborne
283,6,Nelson Shevelin,Staff Scientist,"Apogee Enterprises, Inc.",10000+,Auto Parts:O.E.M.,www.apogee.com,Yolanda Wade
415,29,Cleon Jannequin,Product Engineer,"PS Business Parks, Inc.",10000+,Holdings,www.ps.com,Aline Vincent
401,10,Adena Jandak,Internal Auditor,New York Times Company (The),501-1000,Newspapers/Magazines,www.new.com,Seth Rosario
904,34,Hi Durston,Senior Quality Engineer,GGP Inc.,10000+,Real Estate Investment Trusts,www.ggp.com,Dolan Merrill
26,42,Geoffrey Livezey,Structural Analysis Engineer,Gulfport Energy Corporation,1001-5000,Oil & Gas Production,www.gulfport.com,Georgia Middleton
217,90,Danni Spuner,Staff Scientist,Brookfield Business Partners L.P.,10000+,Engineering & Construction,www.brookfield.com,Josiah Olson
