Contact Full Name,Company,Title,Email,First Name
Carolina Konzelmann,Horizon Technology Finance Corporation,Nurse Practicioner,carolina.konzelmann@horizon.com,
Klement Cristobal,"New Germany Fund, Inc. (The)",Civil Engineer,klemen.cristobal@germany.com,
Binnie Daber,Triangle Capital Corporation,Paralegal,binnie.daber@triangle.com,
Lulu Ahern,"Cass Information Systems, Inc",Tax Accountant,lulu.ahern@cass.com,
Gladys Joslin,"Atlantic Capital Bancshares, Inc.",Office Assistant III,gladys@atlantic.com,
Sheppard Balnaves,"KBR, Inc.",Health Coach IV,sheppard.balnaves@kbr.com,
Tobie Druitt,WAVE Life Sciences Ltd.,Social Worker,tobie.druitt@wave.com,
Filippa Tunsley,PowerShares DWA SmallCap Momentum Portfolio,Quality Engineer,ftunsley@powershares.com,
Mitchell Risborough,YY Inc.,Research Nurse,mitchell@yy.com,
Maggy Adnett,Baker Hughes Incorporated,VP Quality Control,maggy@baker.com,
Brina Vinnick,Kennedy-Wilson Holdings Inc.,Technical Writer,brina.vinnick@kennedy-wilson.com,
Vergil Bothie,Marine Petroleum Trust,Statistician IV,vergil@marine.org,
Cy Camellini,Cherry Hill Mortgage Investment Corporation,Financial Advisor,ccmellini@cherryhill.com,
Myriam Tarrant,Danaher Corporation,Automation Specialist IV,myriamtarrant@danaher.com,
Jess Mielnik,Valvoline Inc.,Senior Financial Analyst,jessm@valvoline.com,
Jo Getcliffe,"Advanced Emissions Solutions, Inc.",Speech Pathologist,jo.het,
Georgeanne Fort,"Liberty TripAdvisor Holdings, Inc.",Software Consultant,,
Carley Esh,"ACI Worldwide, Inc.",Help Desk Technician,,
Wilhelmina Standall,"Customers Bancorp, Inc",Assistant Manager,,
Christabel Doidge,"Willdan Group, Inc.",Mechanical Systems Engineer,,
